Wall time,Step,Value
1748599396.312311,2048,-0.44476574659347534
1748599425.334184,4096,-0.1188141256570816
1748599453.377155,6144,0.820371687412262
1748599481.358333,8192,-0.36828717589378357
1748599510.2002945,10240,0.3257405459880829
1748599539.0823026,12288,0.8646242022514343
1748599567.4171755,14336,1.1328601837158203
1748599595.716373,16384,1.4381824731826782
1748599624.5002458,18432,2.1230673789978027
1748599652.7758539,20480,2.2493391036987305
1748599681.0715933,22528,2.900636672973633
1748599709.0669153,24576,3.1383445262908936
1748599737.1367447,26624,3.6523025035858154
1748599765.240554,28672,3.71193528175354
1748599793.3577223,30720,3.7195444107055664
1748599821.6244211,32768,4.491548538208008
1748599849.6731555,34816,4.568447589874268
1748599877.6774602,36864,4.359543323516846
1748599905.64143,38912,4.3321356773376465
1748599934.6515443,40960,4.520588397979736
1748599962.700236,43008,4.6651225090026855
1748599991.2661057,45056,4.619171619415283
1748600019.85083,47104,4.728105545043945
1748600048.8587637,49152,5.084683418273926
1748600077.545471,51200,5.220035552978516
1748600106.7923756,53248,5.348020553588867
1748600135.5523102,55296,5.693158149719238
1748600164.0756874,57344,5.869195461273193
1748600192.7139072,59392,5.945583343505859
1748600221.7601333,61440,5.755850791931152
1748600250.923505,63488,5.988677978515625
1748600280.0103722,65536,6.247963905334473
1748600308.9240844,67584,6.249120712280273
1748600337.3186064,69632,6.353139877319336
1748600365.7696197,71680,6.506840229034424
1748600395.0620816,73728,6.526541709899902
1748600424.1455762,75776,6.7675299644470215
1748600453.0970275,77824,7.3527679443359375
1748600481.5827806,79872,7.850810527801514
1748600510.436821,81920,8.048162460327148
1748600539.2446012,83968,7.69467830657959
1748600568.0243304,86016,7.922074317932129
1748600597.0389712,88064,8.556894302368164
1748600625.9319413,90112,8.37885856628418
1748600654.608453,92160,8.167669296264648
1748600683.5567987,94208,7.571717262268066
1748600712.643899,96256,7.554762840270996
1748600741.2875996,98304,8.082108497619629
1748600770.198686,100352,8.540553092956543
1748600798.9716058,102400,8.514238357543945
1748600827.625601,104448,8.705066680908203
1748600856.2752354,106496,9.004597663879395
1748600885.021393,108544,9.119131088256836
1748600913.6944833,110592,8.932130813598633
1748600942.221466,112640,8.83698844909668
1748600970.4703588,114688,9.425171852111816
1748600998.9122858,116736,9.319083213806152
1748601027.5644143,118784,9.171208381652832
1748601056.0290706,120832,9.045599937438965
1748601084.4530227,122880,9.039411544799805
1748601113.2989926,124928,8.915872573852539
1748601142.0505257,126976,8.830174446105957
1748601170.8352585,129024,8.860079765319824
1748601199.5657864,131072,8.556389808654785
1748601228.243916,133120,8.833494186401367
1748601256.822871,135168,8.514326095581055
1748601286.1350133,137216,8.618912696838379
1748601315.466083,139264,8.433704376220703
1748601344.1532805,141312,8.902115821838379
1748601372.654499,143360,9.005722999572754
1748601401.2781436,145408,8.60733413696289
1748601430.1718447,147456,8.520252227783203
1748601458.7127566,149504,8.975021362304688
1748601487.582043,151552,9.115265846252441
1748601516.5655246,153600,9.524453163146973
1748601545.4986987,155648,9.699437141418457
1748601574.0616398,157696,9.348260879516602
1748601602.6035945,159744,9.376935005187988
1748601631.3481724,161792,10.040757179260254
1748601659.8233879,163840,10.04599666595459
1748601688.3017535,165888,10.233675003051758
1748601716.964421,167936,10.15694522857666
1748601745.3006375,169984,9.861847877502441
1748601773.0992494,172032,9.412138938903809
1748601801.632064,174080,9.957615852355957
1748601830.3280325,176128,10.004688262939453
1748601859.2034943,178176,10.021855354309082
1748601887.9438272,180224,9.938661575317383
1748601916.4825275,182272,10.45225715637207
1748601944.692543,184320,10.354692459106445
1748601973.6467261,186368,10.706037521362305
1748602002.4183044,188416,10.540302276611328
1748602031.0177884,190464,10.274645805358887
1748602060.0353248,192512,10.674285888671875
1748602088.6098437,194560,10.330972671508789
1748602117.3137465,196608,10.19532299041748
1748602145.9475062,198656,10.300209999084473
1748602174.945891,200704,10.509366035461426
1748602203.5739746,202752,11.154755592346191
1748602232.3368688,204800,10.833699226379395
1748602261.4708922,206848,10.8247709274292
1748602289.8755941,208896,10.929600715637207
1748602318.127935,210944,10.727121353149414
1748602346.8106713,212992,10.17345905303955
1748602375.6875343,215040,9.945512771606445
1748602403.9992115,217088,10.284717559814453
1748602432.7823193,219136,10.006850242614746
1748602461.7799428,221184,10.70361042022705
1748602490.6692233,223232,10.802621841430664
1748602519.433208,225280,10.616815567016602
1748602548.0283375,227328,10.602383613586426
1748602576.4898872,229376,9.974197387695312
1748602605.476045,231424,10.204327583312988
1748602634.4794252,233472,10.268277168273926
1748602663.2632685,235520,9.924857139587402
1748602692.2635794,237568,10.611929893493652
1748602721.4393482,239616,10.570113182067871
1748602750.210166,241664,11.000014305114746
1748602779.3142862,243712,10.769031524658203
1748602808.2291918,245760,10.889995574951172
1748602837.343775,247808,10.297969818115234
1748602866.771462,249856,10.397818565368652
1748602895.7290442,251904,10.341436386108398
1748602924.3551912,253952,10.435840606689453
1748602953.378827,256000,10.57459831237793
1748602982.20309,258048,10.424359321594238
1748603011.3658252,260096,10.392217636108398
1748603040.347654,262144,10.818053245544434
1748603069.4316237,264192,10.698046684265137
1748603098.1117508,266240,10.469440460205078
1748603126.750653,268288,10.836033821105957
1748603155.4213598,270336,10.600714683532715
1748603184.484681,272384,10.416413307189941
1748603213.287544,274432,10.401914596557617
1748603241.9754446,276480,10.342283248901367
